Data incidente,Giorno,Denominazione strada o centro abitato,Localita' dell'incidente,Latitudine,Longitudine,Centro abitato,Tipologia del sinistro,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Persone ferite,Pedoni feriti,Persone decedute,Pedoni deceduti,Prognosi riservate,Prognosi fino a 20 gg,Prognosi da 21 a 40 gg,Prognosi oltre 40 gg,N. veicoli coinvolti,Autovettura pr.,Autovettura pb.,Autocarro,Autobus,Motocarro,Motociclo,Ciclomotore,Quadriciclo,Velocipede,Micromobilita' elettrica,Altro,Violazioni,LAT/LONG
10 July 2023,Lun,"Via Cadore alt. ""Centro Letizia Verga""",MONZA,45.60261911,9.254036215,si,Tamponamento Multiplo,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,2.0,,,,,2.0,,,3,3.0,,,,,,,,,,,"Art.141/2 CdS, Art.193/2 CdS",POINT (9.254036215 45.60261911)
14 March 2023,Mar,Via della Guerrina in prossimita' del civico n.18/C,MONZA,45.58731773,9.300303981,si,Tamponamento Multiplo,Strada Urbana,Curva senza visuale libera,Asciutto,Asfaltata,Sereno,Scarso,no,si,1.0,,,,,1.0,,,3,2.0,,,,,1.0,,,,,,"Art.141/2 CdS, Art.141/2 CdS, Art.157/2 CdS, Art.193/2 CdS",POINT (9.300303981 45.58731773)
08 November 2023,Mer,Via Sant'Andrea in prossimita' del civico n.29,MONZA,45.5990127,9.2631417,si,Veicolo in marcia contro veicoli in sosta,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,,,1.0,,,,,,5,5.0,,,,,,,,,,,Art.80/14 CdS,POINT (9.2631417 45.5990127)
07 January 2023,Sab,V.LE CESARE BATTISTI all'intersezione semaforizzata con Piazzale Virgilio,MONZA,45.59071,9.25446,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Rotatoria,Bagnato (umidita' in atto),Asfaltata,Sereno,Scarso,no,no,,,,,,,,,1,1.0,,,,,,,,,,,"Art.141/2 CdS, Art.186/2 CdS",POINT (9.25446 45.59071)
18 February 2023,Sab,VIA IPPOLITO NIEVO in prossimita' del civico n.3,MONZA,45.577792,9.3000889,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,,,,,,,,,2,1.0,,,,,,,,1.0,,,Art.7/14 CdS,POINT (9.3000889 45.577792)
15 September 2023,Ven,Viale Vittorio Veneto all'intersezione con Via Duca degli Abruzzi,MONZA,45.5792567,9.2528483,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,1.0,,,"Art.145/4 CdS, Art.182/9 CdS",POINT (9.2528483 45.5792567)
19 January 2023,Gio,Via della Taccona all'intersezione con Via Volterra,MONZA,45.5780561,9.2402111,si,Investimento di pedone,Strada Urbana,Intersezione stradale segnalata,Bagnato (pioggia),Asfaltata,Pioggia in atto,Intenso,no,si,1.0,1.0,,,,1.0,,,1,1.0,,,,,,,,,,,Art.191/2 CdS,POINT (9.2402111 45.5780561)
24 November 2023,Ven,Viale Liberta' all'intersezione con Via Oreste Pennati,MONZA,45.5897499,9.3001048,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Intenso,no,si,1.0,,,,,,1.0,,2,1.0,,,,,,,,1.0,,,Art.145/2 CdS,POINT (9.3001048 45.5897499)
04 June 2023,Dom,Viale Brianza all'intersezione con Via Giuseppe Rovani,MONZA,45.5980839,9.2702901,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,1.0,,,,,,1.0,,3,1.0,,,,,,,,2.0,,,Art.154/1 CdS,POINT (9.2702901 45.5980839)
01 August 2023,Mar,Via Lecco all'intersezione con Via Federico Confalonieri,MONZA,45.5908402,9.2886526,si,Tamponamento Multiplo,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,si,1.0,,,,,1.0,,,4,4.0,,,,,,,,,,,"Art.141/2 CdS, Art.173/2 CdS, Art.189/6 CdS",POINT (9.2886526 45.5908402)
